"n_date";"n_trans";"n_town";"n_district";"n_views";"n_department";"n_currency";"n_paid";"n_title"
"2015-10-14";"Issue of Ration Card";"Banda
                      ";" Uttar Pradesh";"201 ";"Food, Civil Supplies and Consumer Affairs";" INR";200;"
                      I Paid Rs. 200 to Food, Civil Supplies and Consumer Affairs in Banda.
                    "
"2015-10-14";"Others";"Bharatpur
                      ";" Rajasthan";"159 ";"Others";" INR";123;"
                      I Paid Rs. 123 to Others in Bharatpur.
                    "
"2015-10-14";"Issue of Ration Card";"Salem
                      ";" Tamil Nadu";"141 ";"Food, Civil Supplies and Consumer Affairs";" INR";10;"
                      I Paid Rs. 10 to Food, Civil Supplies and Consumer Affairs in Salem.
                    "
"2015-10-14";"Birth Certificate";"Nagaon
                      ";" Assam";"117 ";"Municipal Services";" INR";500;"
                      I Paid Rs. 500 to Municipal Services in Nagaon.
                    "
"2015-10-14";"Traffic Violations";"Nainital
                      ";" Uttarakhand";"146 ";"Police";" INR";200;"
                      I Paid Rs. 200 to Police in Nainital.
                    "
"2015-10-14";"Duplicate Registration Certificate";"Adilabad
                      ";" Telangana";"155 ";"Transport";" INR";5000;"
                      I Paid Rs. 5000 to Transport in Adilabad.
                    "
"2015-10-14";"Birth Certificate";"Abhayapuri
                      ";" Assam";"104 ";"Municipal Services";" INR";10;"
                      I Paid Rs. 10 to Municipal Services in Abhayapuri.
                    "
"2015-10-14";"Birth Certificate";"Baran
                      ";" Rajasthan";"51 ";"Municipal Services";" INR";NA;"
                      I Paid Rs. 250000 to Municipal Services in Baran.
                    "
"2015-10-14";"Birth Certificate";"Bangalore
                      ";" Karnataka";"126 ";"Municipal Services";" INR";30000;"
                      I Paid Rs. 30000 to Municipal Services in Bangalore.
                    "
"2015-10-14";"Others";"Bijnaur
                      ";" Uttar Pradesh";"107 ";"Others";" INR";3000;"
                      I Paid Rs. 3000 to Others in Bijnaur.
                    "
"2015-10-14";"Others";"Bilaspur
                      ";" Chhattisgarh";"110 ";"Others";" INR";100;"
                      I Paid Rs. 100 to Others in Bilaspur.
                    "
"2015-10-14";"C Form";"Ghaziabad
                      ";" Uttar Pradesh";"115 ";"Commercial Tax, Sales Tax, VAT";" INR";10;"
                      I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Ghaziabad.
                    "
"2015-10-14";"Birth Certificate";"Bagaha
                      ";" Bihar";"67 ";"Municipal Services";" INR";70000;"
                      I Paid Rs. 70000 to Municipal Services in Bagaha.
                    "
"2015-10-14";"Birth Certificate";"Abohar
                      ";" Punjab";"116 ";"Municipal Services";" INR";500;"
                      I Paid Rs. 500 to Municipal Services in Abohar.
                    "
"2015-10-14";"Birth Certificate";"Varanasi
                      ";" Uttar Pradesh";"99 ";"Municipal Services";" INR";10;"
                      I Paid Rs. 10 to Municipal Services in Varanasi.
                    "
"2015-10-13";"Public Works";"Bangalore
                      ";" Karnataka";"195 ";"Public Works Department";" INR";500;"
                      Police verification for Passport
                    "
"2015-10-13";"Traffic Violations";"Bangalore
                      ";" Karnataka";"220 ";"Police";" INR";5000;"
                      I Paid Rs. 5000 to Police in Bangalore.
                    "
"2015-10-13";"Birth Certificate";"Chennai
                      ";" Tamil Nadu";"194 ";"Municipal Services";" INR";20;"
                      I Paid Rs. 20 to Municipal Services in Chennai.
                    "
"2015-10-13";"Customs Check and Clearance";"Abhayapuri
                      ";" Assam";"208 ";"Customs, Excise and Service Tax";" INR";9999;"
                      I Paid Rs. 9999 to Customs, Excise and Service Tax in Abhayapuri.
                    "
"2015-10-13";"Birth Certificate";"Hyderabad
                      ";" Telangana";"186 ";"Municipal Services";" INR";10;"
                      I Paid Rs. 10 to Municipal Services in Hyderabad.
                    "
"2015-10-13";"Birth Certificate";"Achhnera
                      ";" Uttar Pradesh";"207 ";"Municipal Services";" INR";555;"
                      I Paid Rs. 555 to Municipal Services in Achhnera.
                    "
"2015-10-13";"Birth Certificate";"Abhayapuri
                      ";" Assam";"171 ";"Municipal Services";" INR";20000;"
                      I Paid Rs. 20000 to Municipal Services in Abhayapuri.
                    "
"2015-10-13";"Birth Certificate";"Adilabad
                      ";" Telangana";"169 ";"Municipal Services";" INR";12;"
                      I Paid Rs. 12 to Municipal Services in Adilabad.
                    "
"2015-10-13";"C Form";"New Delhi
                      ";" Delhi";"198 ";"Commercial Tax, Sales Tax, VAT";" INR";10;"
                      I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in New Delhi.
                    "
"2015-10-13";"Registration of Property";"Bangalore
                      ";" Karnataka";"262 ";"Stamps and Registration";" INR";22222;"
                      I Paid Rs. 22222 to Stamps and Registration in Bangalore.
                    "
"2015-10-13";"New PAN Card";"Chandigarh
                      ";" Chandigarh";"167 ";"Income Tax";" INR";10;"
                      I Paid Rs. 10 to Income Tax in Chandigarh.
                    "
"2015-10-13";"Registration of Property";"Alipurduar
                      ";" West Bengal";"198 ";"Stamps and Registration";" INR";565;"
                      I Paid Rs. 565 to Stamps and Registration in Alipurduar.
                    "
"2015-10-13";"Birth Certificate";"Abohar
                      ";" Punjab";"124 ";"Municipal Services";" INR";30;"
                      I Paid Rs. 30 to Municipal Services in Abohar.
                    "
"2015-10-13";"Others";"Guntur
                      ";" Andhra Pradesh";"145 ";"Others";" INR";10000;"
                      I Paid Rs. 10000 to Others in Guntur.
                    "
"2015-10-13";"Birth Certificate";"Srivilliputhur
                      ";" Tamil Nadu";"122 ";"Municipal Services";" INR";10000;"
                      I Paid Rs. 10000 to Municipal Services in Srivilliputhur.
                    "
"2015-10-13";"Birth Certificate";"Chennai
                      ";" Tamil Nadu";"96 ";"Municipal Services";" INR";100;"
                      I Paid Rs. 100 to Municipal Services in Chennai.
                    "
"2015-10-13";"Others";"New Delhi
                      ";" Delhi";"162 ";"Others";" INR";1000;"
                      I Paid Rs. 1000 to Others in New Delhi.
                    "
"2015-10-13";"Others";"Lucknow
                      ";" Uttar Pradesh";"141 ";"Others";" INR";1000;"
                      I Paid Rs. 1000 to Others in Lucknow.
                    "
"2015-10-13";"Traffic Violations";"Abhayapuri
                      ";" Assam";"139 ";"Police";" INR";20;"
                      I Paid Rs. 20 to Police in Abhayapuri.
                    "
"2015-10-13";"Filing FIR";"Bangalore
                      ";" Karnataka";"203 ";"Police";" INR";3000;"
                      I Paid Rs. 3000 to Police in Bangalore.
                    "
"2015-10-13";"Others";"Raipur
                      ";" Chhattisgarh";"153 ";"Others";" INR";50;"
                      I Paid Rs. 50 to Others in Raipur.
                    "
"2015-10-13";"Birth Certificate";"Abhayapuri
                      ";" Assam";"149 ";"Municipal Services";" INR";100;"
                      I Paid Rs. 100 to Municipal Services in Abhayapuri.
                    "
"2015-10-13";"Birth Certificate";"New Delhi
                      ";" Delhi";"60 ";"Municipal Services";" INR";100;"
                      I Paid Rs. 100 to Municipal Services in New Delhi.
                    "
"2015-10-13";"Others";"Coimbatore
                      ";" Tamil Nadu";"89 ";"Others";" INR";1000;"
                      I Paid Rs. 1000 to Others in Coimbatore.
                    "
"2015-10-13";"C Form";"Hathras
                      ";" Uttar Pradesh";"102 ";"Commercial Tax, Sales Tax, VAT";" INR";12;"
                      I Paid Rs. 12 to Commercial Tax, Sales Tax, VAT in Hathras.
                    "
"2015-10-13";"Customs Check and Clearance";"Bangalore
                      ";" Karnataka";"187 ";"Customs, Excise and Service Tax";" INR";800;"
                      I Paid Rs. 800 to Customs, Excise and Service Tax in Bangalore.
                    "
"2015-10-13";"Issue of Ration Card";"Calicut
                      ";" Kerala";"114 ";"Food, Civil Supplies and Consumer Affairs";" INR";500;"
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Calicut.
                    "
"2015-10-13";"New PAN Card";"Banka
                      ";" Bihar";"117 ";"Income Tax";" INR";210;"
                      I Paid Rs. 210 to Income Tax in Banka.
                    "
"2015-10-13";"Police Verification for Passport";"New Delhi
                      ";" Delhi";"118 ";"Police";" INR";400;"
                      I Paid Rs. 400 to Police in New Delhi.
                    "
"2015-10-13";"Others";"Kolhapur
                      ";" Maharashtra";"77 ";"Others";" INR";100;"
                      I Paid Rs. 100 to Others in Kolhapur.
                    "
"2015-10-13";"Issue of Ration Card";"Bangalore
                      ";" Karnataka";"123 ";"Food, Civil Supplies and Consumer Affairs";" INR";1000;"
                      I Paid Rs. 1000 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    "
"2015-10-13";"Customs Check and Clearance";"Bangalore
                      ";" Karnataka";"135 ";"Customs, Excise and Service Tax";" INR";500;"
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    "
"2015-10-13";"Marriage Certificate";"New Delhi
                      ";" Delhi";"143 ";"Stamps and Registration";" INR";400;"
                      I Paid Rs. 400 to Stamps and Registration in New Delhi.
                    "
"2015-10-13";"Birth Certificate";"Hyderabad
                      ";" Telangana";"81 ";"Municipal Services";" INR";2000;"
                      I Paid Rs. 2000 to Municipal Services in Hyderabad.
                    "
"2015-10-13";"Traffic Violations";"New Delhi
                      ";" Delhi";"124 ";"Police";" INR";200;"
                      I Paid Rs. 200 to Police in New Delhi.
                    "
"2015-10-13";"Police Verification for Passport";"New Delhi
                      ";" Delhi";"112 ";"Police";" INR";500;"
                      I Paid Rs. 500 to Police in New Delhi.
                    "
"2015-10-13";"Police Verification for Passport";"New Delhi
                      ";" Delhi";"68 ";"Police";" INR";500;"
                      I Paid Rs. 500 to Police in New Delhi.
                    "
"2015-10-13";"Duplicate Registration Certificate";"Bangalore
                      ";" Karnataka";"162 ";"Transport";" INR";500;"
                      I Paid Rs. 500 to Transport in Bangalore.
                    "
"2015-10-13";"Customs Check and Clearance";"New Delhi
                      ";" Delhi";"130 ";"Customs, Excise and Service Tax";" INR";1500;"
                      I Paid Rs. 1500 to Customs, Excise and Service Tax in New Delhi.
                    "
"2015-10-13";"Filing FIR";"Bangalore
                      ";" Karnataka";"87 ";"Police";" INR";500;"
                      I Paid Rs. 500 to Police in Bangalore.
                    "
"2015-10-13";"C Form";"Aizawl
                      ";" Mizoram";"106 ";"Commercial Tax, Sales Tax, VAT";" INR";1000;"
                      I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in Aizawl.
                    "
"2015-10-13";"Customs Check and Clearance";"Bangalore
                      ";" Karnataka";"131 ";"Customs, Excise and Service Tax";" INR";15000;"
                      I Paid Rs. 15000 to Customs, Excise and Service Tax in Bangalore.
                    "
"2015-10-13";"Traffic Violations";"Adoni
                      ";" Andhra Pradesh";"70 ";"Police";" INR";77;"
                      I Paid Rs. 77 to Police in Adoni.
                    "
"2015-10-13";"Registration of Property";"Bangalore
                      ";" Karnataka";"153 ";"Stamps and Registration";" INR";NA;"
                      I Paid Rs. 100000 to Stamps and Registration in Bangalore.
                    "
"2015-10-13";"Birth Certificate";"Bangalore
                      ";" Karnataka";"58 ";"Municipal Services";" INR";500;"
                      I Paid Rs. 500 to Municipal Services in Bangalore.
                    "
"2015-10-13";"Duplicate Registration Certificate";"Bangalore
                      ";" Karnataka";"140 ";"Transport";" INR";600;"
                      I Paid Rs. 600 to Transport in Bangalore.
                    "
"2015-10-13";"Duplicate Registration Certificate";"Bangalore
                      ";" Karnataka";"133 ";"Transport";" INR";800;"
                      I Paid Rs. 800 to Transport in Bangalore.
                    "
"2015-10-13";"Birth Certificate";"Jaipur
                      ";" Rajasthan";"136 ";"Municipal Services";" INR";500;"
                      I Paid Rs. 500 to Municipal Services in Jaipur.
                    "
"2015-10-12";"Traffic Violations";"Pune
                      ";" Maharashtra";"147 ";"Police";" INR";700;"
                      I Paid Rs. 700 to Police in Pune.
                    "
"2015-10-12";"Marriage Certificate";"Guwahati
                      ";" Assam";"170 ";"Stamps and Registration";" INR";500;"
                      I Paid Rs. 500 to Stamps and Registration in Guwahati.
                    "
"2015-10-12";"Police Verification for Passport";"New Delhi
                      ";" Delhi";"131 ";"Police";" INR";500;"
                      I Paid Rs. 500 to Police in New Delhi.
                    "
"2015-10-12";"New Domestic Driving License";"New Delhi
                      ";" Delhi";"158 ";"Transport";" INR";600;"
                      I Paid Rs. 600 to Transport in New Delhi.
                    "
"2015-10-12";"Customs Check and Clearance";"New Delhi
                      ";" Delhi";"149 ";"Customs, Excise and Service Tax";" INR";1500;"
                      I Paid Rs. 1500 to Customs, Excise and Service Tax in New Delhi.
                    "
"2015-10-12";"New Domestic Driving License";"New Delhi
                      ";" Delhi";"174 ";"Transport";" INR";500;"
                      I Paid Rs. 500 to Transport in New Delhi.
                    "
"2015-10-12";"Customs Check and Clearance";"New Delhi
                      ";" Delhi";"128 ";"Customs, Excise and Service Tax";" INR";1000;"
                      I Paid Rs. 1000 to Customs, Excise and Service Tax in New Delhi.
                    "
"2015-10-12";"Police Verification for Passport";"New Delhi
                      ";" Delhi";"154 ";"Police";" INR";500;"
                      I Paid Rs. 500 to Police in New Delhi.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"144 ";"Food, Civil Supplies and Consumer Affairs";" INR";2400;"
                      I Paid Rs. 2400 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"140 ";"Food, Civil Supplies and Consumer Affairs";" INR";2610;"
                      I Paid Rs. 2610 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"122 ";"Food, Civil Supplies and Consumer Affairs";" INR";3610;"
                      I Paid Rs. 3610 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"103 ";"Food, Civil Supplies and Consumer Affairs";" INR";800;"
                      I Paid Rs. 800 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"117 ";"Food, Civil Supplies and Consumer Affairs";" INR";1200;"
                      I Paid Rs. 1200 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"97 ";"Food, Civil Supplies and Consumer Affairs";" INR";3200;"
                      I Paid Rs. 3200 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"100 ";"Food, Civil Supplies and Consumer Affairs";" INR";4000;"
                      I Paid Rs. 4000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"117 ";"Food, Civil Supplies and Consumer Affairs";" INR";15000;"
                      I Paid Rs. 15000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"110 ";"Food, Civil Supplies and Consumer Affairs";" INR";3000;"
                      I Paid Rs. 3000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"94 ";"Food, Civil Supplies and Consumer Affairs";" INR";2500;"
                      I Paid Rs. 2500 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"79 ";"Food, Civil Supplies and Consumer Affairs";" INR";2000;"
                      I Paid Rs. 2000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"53 ";"Food, Civil Supplies and Consumer Affairs";" INR";2500;"
                      I Paid Rs. 2500 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"50 ";"Food, Civil Supplies and Consumer Affairs";" INR";1400;"
                      I Paid Rs. 1400 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"47 ";"Food, Civil Supplies and Consumer Affairs";" INR";800;"
                      I Paid Rs. 800 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"89 ";"Municipal Services";" INR";2000;"
                      I Paid Rs. 2000 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"52 ";"Food, Civil Supplies and Consumer Affairs";" INR";900;"
                      I Paid Rs. 900 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"93 ";"Municipal Services";" INR";1000;"
                      I Paid Rs. 1000 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"37 ";"Food, Civil Supplies and Consumer Affairs";" INR";500;"
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"74 ";"Municipal Services";" INR";1800;"
                      I Paid Rs. 1800 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"31 ";"Food, Civil Supplies and Consumer Affairs";" INR";610;"
                      I Paid Rs. 610 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"56 ";"Municipal Services";" INR";2400;"
                      I Paid Rs. 2400 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"27 ";"Food, Civil Supplies and Consumer Affairs";" INR";1500;"
                      I Paid Rs. 1500 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"51 ";"Municipal Services";" INR";2610;"
                      I Paid Rs. 2610 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"23 ";"Food, Civil Supplies and Consumer Affairs";" INR";1200;"
                      I Paid Rs. 1200 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"39 ";"Municipal Services";" INR";3610;"
                      I Paid Rs. 3610 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"21 ";"Food, Civil Supplies and Consumer Affairs";" INR";4000;"
                      I Paid Rs. 4000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"39 ";"Municipal Services";" INR";800;"
                      I Paid Rs. 800 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"24 ";"Food, Civil Supplies and Consumer Affairs";" INR";3000;"
                      I Paid Rs. 3000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"23 ";"Food, Civil Supplies and Consumer Affairs";" INR";2000;"
                      I Paid Rs. 2000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"36 ";"Municipal Services";" INR";1200;"
                      I Paid Rs. 1200 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"18 ";"Food, Civil Supplies and Consumer Affairs";" INR";1000;"
                      I Paid Rs. 1000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"33 ";"Municipal Services";" INR";3200;"
                      I Paid Rs. 3200 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"19 ";"Food, Civil Supplies and Consumer Affairs";" INR";1800;"
                      I Paid Rs. 1800 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"24 ";"Municipal Services";" INR";4000;"
                      I Paid Rs. 4000 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"18 ";"Food, Civil Supplies and Consumer Affairs";" INR";2400;"
                      I Paid Rs. 2400 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"17 ";"Municipal Services";" INR";15000;"
                      I Paid Rs. 15000 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"17 ";"Food, Civil Supplies and Consumer Affairs";" INR";2610;"
                      I Paid Rs. 2610 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"18 ";"Municipal Services";" INR";3000;"
                      I Paid Rs. 3000 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"16 ";"Food, Civil Supplies and Consumer Affairs";" INR";3610;"
                      I Paid Rs. 3610 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"17 ";"Municipal Services";" INR";2500;"
                      I Paid Rs. 2500 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"15 ";"Food, Civil Supplies and Consumer Affairs";" INR";800;"
                      I Paid Rs. 800 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"16 ";"Food, Civil Supplies and Consumer Affairs";" INR";1200;"
                      I Paid Rs. 1200 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"21 ";"Municipal Services";" INR";2500;"
                      I Paid Rs. 2500 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"19 ";"Food, Civil Supplies and Consumer Affairs";" INR";3200;"
                      I Paid Rs. 3200 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"22 ";"Municipal Services";" INR";1400;"
                      I Paid Rs. 1400 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"19 ";"Food, Civil Supplies and Consumer Affairs";" INR";4000;"
                      I Paid Rs. 4000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"18 ";"Food, Civil Supplies and Consumer Affairs";" INR";1500;"
                      I Paid Rs. 1500 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"20 ";"Municipal Services";" INR";800;"
                      I Paid Rs. 800 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"20 ";"Food, Civil Supplies and Consumer Affairs";" INR";3000;"
                      I Paid Rs. 3000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"19 ";"Municipal Services";" INR";900;"
                      I Paid Rs. 900 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"20 ";"Food, Civil Supplies and Consumer Affairs";" INR";2500;"
                      I Paid Rs. 2500 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"19 ";"Food, Civil Supplies and Consumer Affairs";" INR";2000;"
                      I Paid Rs. 2000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"20 ";"Municipal Services";" INR";610;"
                      I Paid Rs. 610 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"18 ";"Food, Civil Supplies and Consumer Affairs";" INR";3200;"
                      I Paid Rs. 3200 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"18 ";"Food, Civil Supplies and Consumer Affairs";" INR";2500;"
                      I Paid Rs. 2500 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"19 ";"Municipal Services";" INR";1200;"
                      I Paid Rs. 1200 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"21 ";"Food, Civil Supplies and Consumer Affairs";" INR";1400;"
                      I Paid Rs. 1400 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"22 ";"Municipal Services";" INR";4000;"
                      I Paid Rs. 4000 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"15 ";"Food, Civil Supplies and Consumer Affairs";" INR";2400;"
                      I Paid Rs. 2400 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"20 ";"Municipal Services";" INR";3000;"
                      I Paid Rs. 3000 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"14 ";"Food, Civil Supplies and Consumer Affairs";" INR";1100;"
                      I Paid Rs. 1100 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"21 ";"Municipal Services";" INR";2000;"
                      I Paid Rs. 2000 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"12 ";"Food, Civil Supplies and Consumer Affairs";" INR";1000;"
                      I Paid Rs. 1000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"16 ";"Food, Civil Supplies and Consumer Affairs";" INR";4200;"
                      I Paid Rs. 4200 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"25 ";"Municipal Services";" INR";1000;"
                      I Paid Rs. 1000 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"10 ";"Food, Civil Supplies and Consumer Affairs";" INR";5000;"
                      I Paid Rs. 5000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"19 ";"Municipal Services";" INR";1800;"
                      I Paid Rs. 1800 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"10 ";"Food, Civil Supplies and Consumer Affairs";" INR";610;"
                      I Paid Rs. 610 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
"2015-10-12";"Birth Certificate";"Agra
                      ";" Uttar Pradesh";"22 ";"Municipal Services";" INR";2400;"
                      I Paid Rs. 2400 to Municipal Services in Agra.
                    "
"2015-10-12";"Issue of Ration Card";"Indore
                      ";" Madhya Pradesh";"10 ";"Food, Civil Supplies and Consumer Affairs";" INR";1610;"
                      I Paid Rs. 1610 to Food, Civil Supplies and Consumer Affairs in Indore.
                    "
