"name","party","storkreds","lokalkreds","ran.last.election","age","sex","title","location","pers.votes","UDDANNELSE__Efter folkeskolereformen får eleverne for lange skoledage","FOREBYGGELSE__Afgiften på cigaretter skal sættes op","SUNDHED__Et besøg hos den praktiserende læge skal koste eksempelvis 100 kr.","VELFÆRD__Mere af ældreplejen skal udliciteres til private virksomheder","ARBEJDSMARKED__Man skal hurtigere kunne genoptjene retten til dagpenge","ARBEJDSMARKED__Virksomheder skal kunne drages til ansvar for, om deres udenlandske underleverandører i Danmark overholder danske regler om løn, moms og skat","ØKONOMI__Vækst i den offentlige sektor er vigtigere end skattelettelser","TRAFIK__Investeringer i kollektiv trafik skal prioriteres højere end investeringer til fordel for privatbilisme","RET__Straffen for grov vold og voldtægt skal skærpes","SOCIAL__Kontanthjælpen skal sænkes, så den økonomiske gevinst ved at arbejde bliver større","INTEGRATION__Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter","EU__EU bestemmer for meget i forhold til dansk lov","UDVIKLING__Ulandsbistanden skal sænkes","KULTUR__Den offentlige kulturstøtte skal sænkes"
"Annika Holm Nielsen","enhedslisten","Københavns Omegns "," Hvidovre"," Nej ",25," Kvinde "," Stud.scient.pol. "," Ukendt",551,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Tobias Clausen","enhedslisten","Københavns Omegns "," Brøndby"," Nej ",29," Mand "," Studerende "," 2200 København N",349,"Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Hverken enig eller uenig"
"Ulla Sandbæk","alternativet","Københavns Omegns "," Ukendt"," Nej ",72," Kvinde "," Pastor Emeritus, Forhenværende medlem af Eurpa Parlamentet "," 2820 Gentofte",1233,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Qasam N. Ahmad","alternativet","Københavns Omegns "," Ukendt"," Nej ",35," Mand "," cand.merc. "," 3300 Frederiksværk",786,"Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Ryan Lund","alternativet","Københavns Omegns "," Ukendt"," Nej ",41," Mand "," cand.techn.soc. "," 2870 Dyssegård",328,"Helt uenig","Helt enig","Helt uenig","Delvist uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist enig"
"Bo Steen Mikkelsen","alternativet","Københavns Omegns "," Ukendt"," Nej ",33," Mand "," Lærer "," 2700 Brønshøj",507,"Delvist enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Anders Stjernholm","alternativet","Københavns Omegns "," Ukendt"," Nej ",34," Mand "," Ukendt ","  Frederiksberg",1153,"Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig"
"Christian Olesen","uden for folketingsgrupperne","Københavns Omegns "," Brøndby"," Nej ",29," Mand "," Projektingeniør "," 2605 Brøndby",0,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig"
"Pernille Schnoor","socialdemokraterne","Nordsjællands "," Helsingør"," Nej ",48," Kvinde "," Gymnasielærer "," 2970 Hørsholm",3811,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Delvist uenig","Delvist uenig","Delvist uenig"
"Christine Antorini","socialdemokraterne","Nordsjællands "," Hillerød"," Ja ",50," Kvinde "," Undervisningsminister "," 2200 København N",8193,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist uenig","Delvist uenig","Delvist uenig"
"Nick Hækkerup","socialdemokraterne","Nordsjællands "," Egedal"," Ja ",47," Mand "," Minister for sundhed og forebyggelse "," 3400 Hillerød",11546,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig"
"Miki Dam Larsen","socialdemokraterne","Nordsjællands "," Rudersdal"," Nej ",28," Mand "," Studerende "," 3540 Lynge",1228,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Delvist uenig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig"
"Malou Lunderød","socialdemokraterne","Nordsjællands "," Frederikssund"," Nej ",29," Kvinde "," cand.scient.pol. "," 2600 Glostrup",3738,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt uenig"
"Camilla Kampmann","radikale venstre","Nordsjællands "," Helsingør"," Nej ",47," Kvinde "," Ukendt "," 3150 Hellebæk",352,"Helt uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"Anne Marie Geisler Andersen","radikale venstre","Nordsjællands "," Hillerød, Egedal"," Nej ",34," Kvinde "," Ukendt "," 2300 København S",1269,"Delvist uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist uenig"
"Kristian Hegård","radikale venstre","Nordsjællands "," Fredensborg"," Nej ",24," Mand "," Stud.jur. "," 3050 Humlebæk",968,"Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig"
"Martin Lidegård","radikale venstre","Nordsjællands "," Rudersdal"," Nej ",48," Mand "," Udenrigsminister "," Ukendt",7671,"Helt uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig"
"Helle Løvgreen Mølvig","radikale venstre","Nordsjællands "," Frederikssund"," Ja ",51," Kvinde "," Lægemiddelkonsulent "," 3600 Frederikssund",328,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Pernille Vermund","det konservative folkeparti","Nordsjællands "," Helsingør"," Nej ",39," Kvinde "," Selvstændig arkitekt "," 3070 Snekkersten",2028,"Helt enig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig"
"Thorkild Gruelund","det konservative folkeparti","Nordsjællands "," Ukendt"," Nej ",67," Mand "," Selvstændig "," 2970 Hørsholm",463,"Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Helt uenig"
"Erik Lund","det konservative folkeparti","Nordsjællands "," Ukendt"," Nej ",67," Mand "," Pensionist "," 3450 Allerød",978,"Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Delvist enig"
"Mette Abildgård","det konservative folkeparti","Nordsjællands "," Egedal, Frederikssund, Rudersdal"," Ja ",27," Kvinde "," PR- og kommunikationsmedarbejder "," 2300 København S",3206,"Helt enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist enig"
"Mette Thiesen","det konservative folkeparti","Nordsjællands "," Fredensborg, Hillerød"," Nej ",33," Kvinde "," Folkeskolelærer "," Ukendt",1657,"Helt enig","Delvist uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig"
"Bente Borg Donkin","socialistisk folkeparti","Nordsjællands "," Helsingør"," Nej ",57," Kvinde "," Handicapkoordinator "," 3000 Helsingør",567,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Nikolaj Bührmann","socialistisk folkeparti","Nordsjællands "," Storkredskandidat"," Nej ",40," Mand "," Dagtilbudsleder "," 3450 Allerød",334,"Hverken enig eller uenig","Delvist enig","Delvist uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig"
"Lars Iversen","socialistisk folkeparti","Nordsjællands "," Fredensborg"," Nej ",67," Mand "," Professor "," 2970 Hørsholm",170,"Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Trine Schøning Torp","socialistisk folkeparti","Nordsjællands "," Frederikssund, Egedal, Fredensborg"," Nej ",45," Kvinde "," Psykolog, lektor "," 3300 Frederiksværk",2494,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Teis Volstrup","socialistisk folkeparti","Nordsjællands "," Hillerød, Rudersdal"," Ja ",27," Mand "," Studievejleder "," 2200 København N",971,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Anders Samuelsen","liberal alliance","Nordsjællands "," Storkredskandidat"," Ja ",48," Mand "," Cand.scient.pol. "," 8700 Horsens",20565,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Karsten Andersen","liberal alliance","Nordsjællands "," Storkredskandidat"," Nej ",60," Mand "," Direktør "," 3250 Gilleleje",198,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Helt enig"
"May-Britt Buch-Kattrup","liberal alliance","Nordsjællands "," Storkredskandidat"," Nej ",51," Kvinde "," Civiløkonom HD(A) "," 2970 Hørsholm",639,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist enig"
"Palle Christiansen","liberal alliance","Nordsjællands "," Storkredskandidat"," Nej ",42," Mand "," tandlæge "," 3450 Allerød",211,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig"
"Anne-Marie Tørnes Hansen","liberal alliance","Nordsjællands "," Storkredskandidat"," Nej ",45," Kvinde "," HR Manager "," 3390 Hundested",165,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Tommy Højegård","liberal alliance","Nordsjællands "," Storkredskandidat"," Nej ",52," Mand "," Ukendt "," 3660 Stenløse",116,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Helt enig"
"Elisabeth Ildal","liberal alliance","Nordsjællands "," Storkredskandidat"," Nej ",55," Kvinde "," cand.jur. "," 2950 Vedbæk",506,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Jonathan Nielsen","liberal alliance","Nordsjællands "," Storkredskandidat"," Nej ",36," Mand "," Politisk-økonomisk konsulent "," 3400 Hillerød",275,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Niels Westy","liberal alliance","Nordsjællands "," Storkredskandidat"," Ja ",54," Mand "," Underviser "," 3480 Fredensborg",379,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Stig Grenov","kristendemokraterne","Nordsjællands "," Fredensborg"," Ja ",54," Mand "," Lærer "," 2970 Hørsholm",1029,"Helt enig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Hverken enig eller uenig"
"Andreas Peters-Lehm","kristendemokraterne","Nordsjællands "," Ukendt"," Ja ",40," Mand "," Lærer "," 3320 Skævinge",62,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Glen Madsen","dansk folkeparti","Nordsjællands "," Helsingør"," Nej ",39," Mand "," Vagt "," 2970 Hørsholm",1743,"Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Helt uenig"
"Pia Adelsteen","dansk folkeparti","Nordsjællands "," Egedal"," Ja ",52," Kvinde "," Selvstændig "," 9550 Mariager",3179,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist uenig"
"Marlene Harpsøe","dansk folkeparti","Nordsjællands "," Hillerød"," Ja ",32," Kvinde "," Kontorassistent "," Ukendt",3521,"Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig"
"Gitte Hemmingsen","dansk folkeparti","Nordsjællands "," Frederikssund"," Nej ",51," Kvinde "," Byrådsmedlem "," 3300 Frederiksværk",1659,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt enig","Helt enig","Delvist enig"
"Lucas Hultgren","dansk folkeparti","Nordsjællands "," Fredensborg"," Nej ",21," Mand "," Jurastuderende "," 2300 København S",516,"Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt uenig"
"Jan-Erik Messmann","dansk folkeparti","Nordsjællands "," Rudersdal"," Nej ",66," Mand "," Kaptajn "," 3460 Birkerød",1888,"Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig"
"Søren Hyldgård","venstre","Nordsjællands "," Helsingør"," Nej ",44," Mand "," Konsulent "," 3460 Birkerød",1396,"Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt uenig"
"Hans Andersen","venstre","Nordsjællands "," Frederikssund"," Ja ",40," Mand "," Cand.merc.aud. "," 3600 Frederikssund",5447,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist enig"
"Claus Hjort Frederiksen","venstre","Nordsjællands "," Rudersdal"," Ja ",68," Mand "," Fhv. minister "," 3050 Humlebæk",8222,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig"
"Tinne Borch Jacobsen","venstre","Nordsjællands "," Fredensborg"," Nej ",56," Kvinde "," Kontorchef "," 3480 Fredensborg",1675,"Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig"
"Sophie Løhde","venstre","Nordsjællands "," Egedal"," Ja ",32," Kvinde "," HA.Kom. ","  København K",11832,"Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist enig"
"Klaus Markussen","venstre","Nordsjællands "," Hillerød"," Ja ",40," Mand "," Cand.scient.pol. "," 3400 Hillerød",2663,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist uenig","Delvist enig","Helt enig","Delvist uenig"
"Margit Kjeldgård","enhedslisten","Nordsjællands "," Helsingør"," Ja ",60," Kvinde "," Selvstændig "," 3000 Helsingør",466,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Delvist uenig"
"Maria Reumert Gjerding","enhedslisten","Nordsjællands "," Hillerød"," Ja ",37," Kvinde "," Miljøpol. medarb. "," Ukendt",2287,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Helle Osther Friedrichsen","enhedslisten","Nordsjællands "," Fredensborg"," Nej ",52," Kvinde "," Kasserer "," Ukendt",561,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Hverken enig eller uenig"
"Torben Kjær","enhedslisten","Nordsjællands "," Rudersdal"," Nej ",59," Mand "," Fhv. landmåler "," 3400 Hillerød",292,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig"
"Kent Weiss Holst","enhedslisten","Nordsjællands "," Frederikssund"," Nej ",30," Mand "," Studerende "," 3300 Frederiksværk",265,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Christian Poll","alternativet","Nordsjællands "," Ukendt"," Nej ",50," Mand "," Kemiingeniør "," 3460 Birkerød",1622,"Hverken enig eller uenig","Helt enig","Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Michael Macdonald Arnskov","alternativet","Nordsjællands "," Ukendt"," Nej ",59," Mand "," M.Sc. & B.Sc. Eng. "," 2840 Holte",288,"Delvist enig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig"
"Lasse Elmin Danielsen","alternativet","Nordsjællands "," Ukendt"," Nej ",53," Mand "," datanom "," 3000 Helsingør",238,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig"
"Bina Seff","alternativet","Nordsjællands "," Ukendt"," Nej ",59," Kvinde "," Lærer "," 3100 Hornbæk",667,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Gert Lassen","uden for folketingsgrupperne","Nordsjællands "," Rudersdal"," Nej ",51," Mand "," Selvstændig "," 2950 Vedbæk",0,"Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig"
"Lea Wermelin","socialdemokraterne","Bornholms "," Rønne"," Nej ",30," Kvinde "," cand.scient.pol. "," 2200 København N",3951,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Hverken enig eller uenig"
"Lars Bentzon Goldschmidt","socialdemokraterne","Bornholms "," Aakirkeby"," Nej ",60," Mand "," Kemiingeniør "," 3770 Allinge",264,"Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Claus Larsen-Jensen","socialdemokraterne","Bornholms "," Aakirkeby"," Nej ",62," Mand "," Direktør "," 3720 Aakirkeby",1905,"Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig"
"Bente Johansen","radikale venstre","Bornholms "," Rønne, Aakirkeby"," Ja ",62," Kvinde "," Dyrlæge "," 3700 Rønne",178,"Delvist uenig","Helt enig","Helt uenig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Kirstine van Sabben","det konservative folkeparti","Bornholms "," Ukendt"," Ja ",39," Kvinde "," Malermester "," 3790 Hasle",214,"Helt enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt enig","Delvist enig"
"Ianto Tryfan Davies Gerdes","det konservative folkeparti","Bornholms "," Aakirkeby"," Nej ",33," Mand "," Oversergent "," 3751 Østermarie",35,"Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig"
"Leif Olsen","socialistisk folkeparti","Bornholms "," Rønne"," Ja ",51," Mand "," Lektor "," 3770 Allinge",143,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Poul Overlund-Sørensen","socialistisk folkeparti","Bornholms "," Aakirkeby"," Ja ",57," Mand "," Konsulent "," 3700 Rønne",76,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Birgitte Kjøller Pedersen","socialistisk folkeparti","Bornholms "," Storkredskandidat"," Nej ",53," Kvinde "," Cand.mag. "," 3770 Allinge",86,"Hverken enig eller uenig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig"
"Per B. Frostholm","liberal alliance","Bornholms "," Ukendt"," Nej ",57," Mand "," Vinhandler "," 3700 Rønne",182,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Carl Beck","liberal alliance","Bornholms "," Ukendt"," Nej ",35," Mand "," Direktør "," 3730 Nexø",195,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt enig"
"Niels Chresten Andersen","kristendemokraterne","Bornholms "," Rønne"," Nej ",55," Mand "," EU-konsulent "," 3700 Rønne",217,"Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig"
"Bjarne Hartung Kirkegård","kristendemokraterne","Bornholms "," Aakirkeby"," Ja ",61," Mand "," Journalist "," 3770 Allinge",235,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist enig","Helt uenig","Helt uenig"
"Jørgen Mundt Andersen","dansk folkeparti","Bornholms "," Rønne"," Nej ",59," Mand "," Kaptajn "," 4560 Køge",246,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt enig","Helt enig","Delvist enig"
"Jess Christian Persson","dansk folkeparti","Bornholms "," Aakirkeby"," Nej ",39," Mand "," Overstyrmand "," 3700 Rønne",1911,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig"
